225	3480	380	38	360.8	39	12.9	0.109195402299	1.02631578947
216	3480	360	36	447.0	36	11.9	0.103448275862	1.0
348	3480	1010	101	996.5	101	6.0	0.290229885057	1.0
223	3470	310	31	298.5	31	27.1	0.0893371757925	1.0
221	3470	330	33	322.1	34	15.5	0.0951008645533	1.0303030303
314	190	190	19	152.3	20	3.0	1.0	1.05263157895
420	80	70	7	61.3	9	4.8	0.875	1.28571428571
361	3480	40	4	23.3	4	14.9	0.0114942528736	1.0
222	3470	1580	158	1589.5	159	36.9	0.455331412104	1.00632911392
528	510	510	51	505.5	54	8.5	1.0	1.05882352941
228	3470	110	11	91.4	11	15.2	0.0317002881844	1.0
225	3470	1550	155	1885.9	155	29.3	0.446685878963	1.0
483	220	220	22	237.1	27	9.4	1.0	1.22727272727
213	3470	270	27	245.4	27	15.0	0.0778097982709	1.0
366	930	180	18	165.9	19	9.0	0.193548387097	1.05555555556
224	3470	1150	115	1152.6	115	24.5	0.331412103746	1.0
225	3480	90	9	101.2	9	34.2	0.0258620689655	1.0
218	3470	630	63	610.8	63	19.0	0.181556195965	1.0
216	3480	1370	137	1392.5	137	48.6	0.39367816092	1.0
215	3470	440	44	421.7	44	14.9	0.126801152738	1.0
227	3470	300	30	278.5	31	15.7	0.0864553314121	1.03333333333
223	3480	160	16	147.1	16	27.0	0.0459770114943	1.0
444	230	230	23	360.2	40	9.2	1.0	1.73913043478
359	3480	1270	127	1249.4	127	7.9	0.364942528736	1.0
537	330	330	33	370.7	42	9.9	1.0	1.27272727273
647	830	550	55	605.2	65	4.2	0.66265060241	1.18181818182
245	3480	140	14	84.8	14	7.3	0.0402298850575	1.0
215	60	60	6	16.9	6	10.0	1.0	1.0
565	80	60	6	19.5	6	10.6	0.75	1.0
282	3470	30	3	61.4	3	48.1	0.00864553314121	1.0
217	3470	410	41	397.4	41	25.2	0.118155619597	1.0
235	3470	100	10	91.9	10	23.1	0.028818443804	1.0
362	3480	90	9	83.2	9	12.6	0.0258620689655	1.0
228	3470	80	8	61.8	8	16.7	0.0230547550432	1.0
355	3480	50	5	38.8	5	22.3	0.014367816092	1.0
224	3470	200	20	178.9	20	21.3	0.0576368876081	1.0
203	3470	240	24	213.3	24	14.0	0.0691642651297	1.0
223	3470	550	55	548.7	55	26.7	0.158501440922	1.0
224	3470	260	26	247.0	26	13.1	0.0749279538905	1.0
315	3480	160	16	245.7	21	10.4	0.0459770114943	1.3125
231	3480	50	5	41.9	5	16.3	0.014367816092	1.0
295	4680	40	4	10.8	4	4.9	0.00854700854701	1.0
226	3470	80	8	57.5	8	15.6	0.0230547550432	1.0
189	3470	220	22	228.1	27	15.4	0.0634005763689	1.22727272727
82	3470	50	5	21.4	5	4.9	0.014409221902	1.0
223	3470	480	48	466.0	48	17.4	0.138328530259	1.0
346	3480	2080	208	2075.1	213	10.9	0.597701149425	1.02403846154
352	3480	120	12	99.1	12	14.9	0.0344827586207	1.0
324	3480	150	15	133.8	15	12.3	0.0431034482759	1.0
211	3470	400	40	376.6	40	24.0	0.115273775216	1.0
228	3470	130	13	106.7	13	18.0	0.0374639769452	1.0
217	3470	1260	126	1231.7	126	20.1	0.363112391931	1.0
226	3470	360	36	351.1	36	25.0	0.103746397695	1.0
227	3470	410	41	507.4	41	120.9	0.118155619597	1.0
226	3470	560	56	605.9	59	31.3	0.161383285303	1.05357142857
212	3480	130	13	119.3	13	22.2	0.0373563218391	1.0
200	3470	220	22	216.1	22	32.7	0.0634005763689	1.0
507	80	70	7	42.7	8	13.4	0.875	1.14285714286
202	3490	80	8	305.0	10	77.2	0.0229226361032	1.25
368	3480	130	13	112.0	13	12.6	0.0373563218391	1.0
243	3470	70	7	105.8	7	21.4	0.0201729106628	1.0
233	3470	80	8	54.7	8	15.6	0.0230547550432	1.0
359	2440	320	32	320.3	32	3.3	0.131147540984	1.0
223	3470	490	49	483.9	49	21.6	0.14121037464	1.0
200	3480	370	37	363.1	37	25.6	0.10632183908	1.0
210	3470	480	48	452.9	48	15.5	0.138328530259	1.0
214	3470	310	31	288.6	31	15.4	0.0893371757925	1.0
448	180	180	18	187.4	20	36.6	1.0	1.11111111111
206	3480	380	38	406.0	38	17.5	0.109195402299	1.0
220	3470	400	40	383.1	40	26.8	0.115273775216	1.0
230	3470	180	18	157.4	18	11.3	0.0518731988473	1.0
550	1750	1750	174	1744.0	184	6.1	1.0	1.05747126437
121	90	60	6	24.0	6	7.9	0.666666666667	1.0
240	3470	60	6	42.3	6	16.8	0.0172910662824	1.0
416	120	120	12	67.4	14	9.0	1.0	1.16666666667
207	3470	480	48	472.2	48	22.1	0.138328530259	1.0
363	8410	450	45	464.8	45	4.4	0.0535077288942	1.0
362	3480	330	33	317.5	33	19.9	0.0948275862069	1.0
497	80	80	8	44.7	9	4.7	1.0	1.125
550	80	50	5	55.7	6	3.4	0.625	1.2
99	70	70	7	70.9	10	5.7	1.0	1.42857142857
213	3470	340	34	339.7	34	32.1	0.0979827089337	1.0
229	3470	190	19	178.0	19	20.9	0.0547550432277	1.0
230	3470	190	19	276.1	19	37.6	0.0547550432277	1.0
